Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - EUR,Flow,Company,open_close_diff,high_low_range,range_pct,turnover_per_volume,close_lag1,close_lag2,close_lag4,chg_lag1,chg_lag2,volume_lag1,close_rolling_mean_4,chg_rolling_std_4,close_rolling_mean_8,month,week_of_year,quarter,target_next_chg
08/04/2016,41.37,0.37,0.01,41.02,39.90,41.54,3647021.00,148480000.00,382591000.00,KNEBV,0.35,1.64,0.04,40.71,41.00,41.53,40.54,-0.01,-0.02,3596515.00,41.61,0.03,41.23,4.00,14.00,2.00,0.02
15/04/2016,42.13,0.76,0.02,41.37,40.80,42.37,4057200.00,168438000.00,551029000.00,KNEBV,0.76,1.57,0.04,41.52,41.37,41.00,42.55,0.01,-0.01,3647021.00,41.51,0.02,41.46,4.00,15.00,2.00,-0.05
22/04/2016,40.16,-1.97,-0.05,41.78,39.37,43.49,6286693.00,261005000.00,290024000.00,KNEBV,-1.62,4.12,0.10,41.52,42.13,41.37,41.53,0.02,0.01,4057200.00,41.17,0.03,41.33,4.00,16.00,2.00,-0.01
29/04/2016,39.84,-0.32,-0.01,40.24,39.35,40.43,3819042.00,152070000.00,137954000.00,KNEBV,-0.40,1.08,0.03,39.82,40.16,42.13,41.00,-0.05,0.02,6286693.00,40.88,0.03,41.14,4.00,17.00,2.00,-0.02
06/05/2016,39.05,-0.79,-0.02,39.70,38.58,39.96,4098011.00,161121000.00,-23167000.00,KNEBV,-0.65,1.38,0.03,39.32,39.84,40.16,41.37,-0.01,-0.05,3819042.00,40.30,0.03,40.95,5.00,18.00,2.00,0.01
13/05/2016,39.61,0.56,0.01,39.28,38.79,40.18,3594668.00,141339000.00,118172000.00,KNEBV,0.33,1.39,0.04,39.32,39.05,39.84,42.13,-0.02,-0.01,4098011.00,39.67,0.03,40.59,5.00,19.00,2.00,0.01
20/05/2016,39.95,0.34,0.01,39.44,39.16,40.22,2669380.00,105919000.00,224091000.00,KNEBV,0.51,1.06,0.03,39.68,39.61,39.05,40.16,0.01,-0.02,3594668.00,39.61,0.02,40.39,5.00,20.00,2.00,0.04
27/05/2016,41.53,1.58,0.04,40.02,39.44,41.73,3649950.00,148508000.00,372599000.00,KNEBV,1.51,2.29,0.06,40.69,39.95,39.61,39.84,0.01,0.01,2669380.00,40.04,0.02,40.46,5.00,21.00,2.00,-0.01
03/06/2016,41.16,-0.37,-0.01,41.60,40.70,42.60,3832171.00,160286000.00,212313000.00,KNEBV,-0.44,1.90,0.05,41.83,41.53,39.95,39.05,0.04,0.01,3649950.00,40.56,0.02,40.43,6.00,22.00,2.00,-0.01
10/06/2016,40.61,-0.55,-0.01,41.21,40.50,42.04,2229138.00,92413000.00,119900000.00,KNEBV,-0.60,1.54,0.04,41.46,41.16,41.53,39.61,-0.01,0.04,3832171.00,40.81,0.02,40.24,6.00,23.00,2.00,-0.03
17/06/2016,39.23,-1.38,-0.03,40.20,38.75,40.45,5100989.00,200048000.00,-80148000.00,KNEBV,-0.97,1.70,0.04,39.22,40.61,41.16,39.95,-0.01,-0.01,2229138.00,40.63,0.03,40.12,6.00,24.00,2.00,0.05
24/06/2016,41.30,2.07,0.05,40.05,39.60,41.54,2282522.00,92781000.00,12633000.00,KNEBV,1.25,1.94,0.05,40.65,39.23,40.61,41.53,-0.03,-0.01,5100989.00,40.58,0.04,40.31,6.00,25.00,2.00,0.01
